"Plexus_Customer_No","Part_No","Pcomp_Part_No","Quantity"
278344,95-13150-5006,30-12236,1.00000000
278344,95-13150-5006,32-14335,18.00000000
278344,95-13150-5006,32-14335,18.00000000
278344,95-13150-5006,34-15679,4.00000000
278344,95-13150-5006,34-15683,3.00000000
278344,95-13150-5006,34-15687,1.00000000
278344,95-13150-5006,35-12188,1.00000000
278344,95-13150-5006,35-12191,3.00000000
278344,95-13150-5006,35-12191,3.00000000
278344,95-13150-5006,35-12192,2.00000000
278344,95-13150-5006,35-12193,1.00000000
278344,95-13150-5006,35-12200,1.00000000
278344,95-13150-5006,35-12423,16.00000000
278344,95-13150-5006,35-12423,1.00000000
278344,95-13150-5006,36-08676,1.00000000
278344,95-13150-5006,36-08677,16.00000000
278344,95-13150-5006,37-11136,1.00000000
278344,95-13150-5006,41-10588,1.00000000


